"Timestamp","... regarding your studies:","... regarding your general mood:","... regarding your expectations (worse/better than expected?):","If you want to name reasons for the above, please drop a line.","Online classes work well for lectures (lecturer presents information)","Online classes work well for tutorials (teacher presents and discusses exercises and solutions) ","Online classes work well for ""Testate"" (students present homework to e.g. research assistant)","Online classes work well for small seminars (<= 15 students)","Online classes work well for large seminars (>15 students)","Online classes work well for giving or listening to presentations","Online classes work well for reading clubs","Online classes work well for study projects","Solving homework exercises online as a group works fine","Working together on other projects (presentation, paper, etc.) online works fine.","Working online as a student assistant (HiWi) works fine.","Participating in extracurricular activities (e.g. student body, university politics) online works fine.","Managing general administration tasks (e.g. examination office) remotely works fine. ","Do you want to add something more specific about the parts of online university that work well or not so well? ","Do you have suggestions on how to improve the shortcomings of specific types of sessions?","How problematic was the summer term 2020 for you in general?","Which of the following issues or problems affected you as a result of the Covid-19 crisis and/or the online semester? ","Do you suffer from any psychological conditions?","If you suffer from any psychological conditions, did your situation worsen since March 2020?","If you like, please tell us about any particularly striking problems that you encountered personally. If possible, please mention ways in which similar problems could be preventable or solvable for others in the future.","To cope with any arising issues, which of the following services have you used?","How many ECTS points are you aiming to get this semester?","How many classes did you drop because of the current situation?","Are you currently following more or less courses than in other semesters?","How much work are the current digital courses compared to usual university courses?","Do you think that you will need more semesters than planned to complete your studies because of Corona?","Are you regularly taking part in lectures or seminars that are broadcasted live?","Have you been able to complete all your courses from the winter term?","If you have no yet completed all of your courses from the winter term, do you already know when and how you will be able to complete these courses?","How often do you arrange meetings with other people for studying?","Do you meet virtually with people for studying?","Would you wish there would be offer more online social events?","Do you feel a lack of structure in your day because of the online semester?","What tech-setup do you use for university? (Select all that apply)","Which of the university's equipment or facilities that fell away during the last semester is most crucial to your studies/you had a hard time compensating for?","How many fellow students are you regularly in contact with via chat/phone/video/screenshare (primarily uni-matters)?","Which of the following messenger/chat services do you need to communicate within the courses?","What is the most useful format for lecture slides?","What 'Format' of recorded lectures do you find the most engaging/easy to follow ?","In your opinion, how much of Stud.IP's potential is used by the average course ?","Which Stud.IP service would you like to see used more often?","Did you know? There is an interactive Google Sheet called the Coxi Grade Calculator the keep track of required courses, grades and your thesis! (Links provided in the mail to this survey.)","Did you know? There is a virtual university campus to join via a Discord (chat service) server, that provides screensharing, voice/videoChat, updates on courses and emotional support in tough times! (Links provided in the mail to this survey.)","Share your Secrets: Times and Dates - Please let us know about all the apps you are using regarding time management. [Comma, separated answers, are, highly apprechiated]","Share your Secrets: Files and Notes - Please let us know about all the apps you are using regarding file organization and note-taking. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: Peers and Partners - Please let us know about all the apps you are using regarding personal connection and team-learning. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: The MVP - Please let us know about the app/service/device that you are using the most and could not study without. [Name the app and explain what makes it your ""Most Valuable Player""]","What program are you enrolled in?","What semester are you in?","In case the next semester will be an online semester like the current, how important would it be for you to know this as soon as possible?","Please share anything that so far you had no chance of mentioning!"
"2020/06/11 8:42:05 PM GMT+2","8","6","8","Most courses run surprisingly smoothly and I even feel like my studying and general stress level has profited a bit (no ""lost time"" on physically getting to uni for example). The almost completely removed social aspect does take its toll though.","8","6","9","7","","","","","8","7","","","","","","3","mental health issues;financial issues;social issues;term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","25 ECTS","1","a bit less","7","Yes, one semester more","Yes","No","No","more often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet","Frosch","5","Discord","PDF (with Lecturer Comments printed below on the same page)","Narration by lecturer (Audio only)","7","Wiki (Look up specific descriptions & definitions)","Yes","Yes","Forest","","Discord, WhatsApp","tomato-timer.com / It's a simple pomodoro technique timer but it is so essential for my focus while working on tasks that I should start adding its name to my homework assignments.","","4","Very important to know ASAP","Obviously, this semester is not like any of us imagined and there are many hardships to be faced. However, I really feel like this situation highlights how well connected and mutually supportive the entire Coxi community is. It makes this awkward time much more bearable. 
I also feel like the courses that work best are the ones where communication between lecturers and students runs most freely. A lot of frustration (on both sides I assume) can be prevented when underlying issues are made transparent by the lecturer and when students feel like their suggestions are heard."
"2020/06/11 8:55:59 PM GMT+2","8","8","9","The online teaching methods (BigBlueButton) work quite well, even discussions work if people are motivated","10","9","8","10","9","9","8","5","8","8","5","5","5","For some questions I didn't have an opinion (because I didn't experience such formats), I therefore marked them as 5","","2","financial issues;social issues","No","I dont suffer from any psychological condition","","Advice mentoring team;Examination office","30 ECTS","1","a bit less","6","Yes, one semester more","Yes","Yes","","about the same","Yes","No","No","Desktop/Laptop Computer;Printer;Pen & Paper","Frosch","4","Blubber;Stud.IP Forum;Discord;Whatsapp, Telegram, Email","PDF and Lecturer presents the slides","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","","Whatsapp, Telegram","Laptop with internet connection, otherwise I would not have any connection to the university account with my courses","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/11 10:10:41 PM GMT+2","8","7","9","This format makes it possible to attend events you would otherwise be not able to take part in (like virtual scientific conferences etc), and our institute does a great job at switching almost all the classes I take to a virtual format. You can also attend otherwise verlapping classes.","7","6","10","","8","10","","","7","","10","","","The quality of the lecture strongly depends on the motivation of the lecturer to make the lecture work. ","Personal discussions and interactions are really missing, and small group assignments might be nice to compensate this.","2","could not travel to Germany","No","","I am in my final semester an I could not travel to Germany on the planned date. However, administrative issues like oral exams and BSc thesis registration require a lot of paper work to be accomplished via POST - and 1) I have no access to my documents in Germany 2) even if I had them, postal services just do not work in some countries (as opposed to Europe). So a possibility to submit paperwork in digital formats would be really helpful!","Advice study coordinator;Advice dean of studies;Examination office","more than 30 ECTS","1","a bit less","7","No","No","Yes","","less often than in previous semesters","No","Yes","Maybe","Desktop/Laptop Computer;Printer;Pen & Paper","Library Books","4","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","8","opencast","No","Yes","","","","","BSc CogSci","5","Very important to know ASAP","The most difficult thing is being in the same space (i e at home) for both work and private life - work takes over 100% of the time."
"2020/06/11 10:30:22 PM GMT+2","4","3","5","","6","4","4","2","2","2","","2","1","1","","","10","I feel that when a seminar just consists of a student presentation each week (not even a discussion taking is taking place), I do not learn something. Especially when the lecturer neither provides additional content nor criticism on the presentation. ","using the possibilities of the online tools, like little quizzes during a session to make it interactive for the students. Giving students feedback about their planned presentation beforehand and afterwards would be valuable. ","7","physical health issues;social issues;issues with access to study material (library, labs)","Yes (Diagnosed or Suspected; via health care professional)","Yes, but i can somehow deal with it","","Advice study coordinator;Examination office","less than 15 ECTS","None","a bit less","4","No","Yes","No","No","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Tablet (+ Pen);Printer;Pen & Paper","","1","Telegram","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","2","All of the above except the file system.","Yes","No","","","","","MSc CogSci","3","Very important to know ASAP","I hope that some lecturers will rethink the way they teach their class and not just transfer it to online meetings. Often I feel like many lecturers only try to minimize their work by giving the same presentation topics to students every year and then neither providing additional input nor feedback for the students. This is not only a problem of the online semester, but in an online semester it strikes because additionally personal interaction is missing. On the other hand there are a few lecturers that really do a great job at teaching, providing lots of material, an interesting lecture, resources to exercises, provide feedback, use things like cliqr, etc. ...  I hope that in the future that will be the case in the majority   of the classes."
"2020/06/11 10:52:48 PM GMT+2","6","2","6","I really miss discussing the lectures with other students, it gives me much more motivation to follow the content, helps me to understand and last but not least contributes a lot to my social wellbeing.","8","8","9","2","","3","","","2","7","","","","Seminars are not really what they are supposed to be (at least the one I am taking at the moment) since it is mostly the professor or a student that is giving a presentation talking, but not really an active discussion between students and professor.","One professor introduced question and answer sessions every 4th week or so which made it possible to ask questions about the lectures we have heard so far. I really liked this idea to balance out the missing interaction we normally have between students and professor (i.e. if the lecture is not held online).","3","financial issues;social issues;internship (or similar) cancelled / postponed;could not travel to Germany","No","","","None","25 ECTS","None","a bit less","8","No","Yes","","","less often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Printer;Pen & Paper","Mensa","4","Stud.IP Forum","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer.","6","Vips (With Question Pool & Selftest options )","No","Yes","","","skype, google colab","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/11 11:09:46 PM GMT+2","4","4","5","I think the main reason my mood is affected is the missing social interaction","9","","","","8","3","","","7","7","","","","Regarding presentations it is much harder to concentrate if you don't see the presenter and also as a presenter to give a good presentation without being able to read the audience.  
It can be hard to find study/presentation groups if you take part in a course without knowing anyone and not being able to talk to someone in person. ","","6","mental health issues;social issues;internship (or similar) cancelled / postponed;Finding a suitable working space with libraries closed and very little space at home","Seems likely /or/ Yes, but not diagnosed","","","None","less than 15 ECTS","1","much less","7","No","Yes","No","Yes","less often than in previous semesters","No","","No","Desktop/Laptop Computer;Tablet (+ Pen);Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","5","Stud.IP Forum;Discord","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","8","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","No","","","","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/12 8:30:36 AM GMT+2","1","2","1","There is (was) no progress due to not being able to write my thesis before the math and informatics exam","7","","","6","8","5","","","3","4","","1","7","","","9","mental health issues;financial issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","","","Advice mentoring team;Advice dean of studies","25 ECTS","","","","Yes, one semester more","Yes","No","No","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","1","Stud.IP Forum","","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Vips (With Question Pool & Selftest options )","Yes","Yes","","","FaceTime ","","BSc CogSci","8+","Good to know at some point but not urgent",""
"2020/06/12 9:36:07 AM GMT+2","9","10","7","","9","8","5","","","","","","9","8","","9","","","","2","social issues;issues with technical equipment (computer, internet, ...)","No","I dont suffer from any psychological condition","","None","30 ECTS","None","a bit more","7","","Yes","No","No","less often than in previous semesters","No","Yes","No","Desktop/Laptop Computer;Pen & Paper","Printers","4","Slack;Riot;Stud.IP Forum;Discord","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","7","Vips (With Question Pool & Selftest options )","Yes","Yes","","","","","BSc CogSci","2","It doesn't matter at all when I would know",""
"2020/06/12 9:59:37 AM GMT+2","10","7","10","","","","10","","8","10","","","7","7","","","","","","1","mental health issues;term abroad cancelled / postponed;could not travel to Germany","Yes (Diagnosed or Suspected; via health care professional)","Yes, but i can somehow deal with it","","Psychological counseling","15 ECTS","None","about the same","5","No","No","Yes","","about the same","No","No","No","Desktop/Laptop Computer;Printer;Pen & Paper","","2","Blubber;Stud.IP Forum;Discord","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","","Vips (With Question Pool & Selftest options )","Yes","Yes","","","WhatsApp ,Telegram, Facebook messenger, Zoom, Botim","StudIP","MSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/12 10:13:58 AM GMT+2","5","6","8","Most annoying is that you can't print on campus and that you can't study in the library","8","6","5","","","7","","","","8","","","8","","","4","mental health issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs);printer","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","","25 ECTS","1","a bit less","5","No","No","Yes","","less often than in previous semesters","Yes","","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","2","Stud.IP Forum","PPP with voice over by lecturer (statistic II)","Video of slides + Narration by lecturer.","7","","Yes","Yes","","google docs","","google docs","BSc CogSci","6","It doesn't matter at all when I would know",""
"2020/06/12 10:20:37 AM GMT+2","2","1","5","","6","6","5","5","5","","","3","3","2","","5","4","","","9","mental health issues;social issues;issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Advice mentoring team;Examination office","30 ECTS","None","about the same","7","Yes, one semester more","Yes","No","No","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","5","Riot;Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","7","Vips (With Question Pool & Selftest options )","Yes","Yes","","","","","BSc CogSci","2","Good to know at some point but not urgent","because of the online semster the university became more of a uneven playingfield, depending on which type of learner you are some are in a disatvantage "
"2020/06/12 10:25:26 AM GMT+2","4","7","8","I really miss the people and realize how much easier it was to keep up with the schedule, when you are on campus surrounded by other motivated people.","8","8","5","5","5","8","5","3","9","8","5","7","2","More Live Streams would be appreciated.","Teach the lecturers a more extensive use of Stud.IP for setting up Lectures/Schedules/Resoruces in an organised way (E.g Courseware). Its all there, it seems like most just don't know.","2","no particular issues","No","No","","","30 ECTS","None","about the same","8","Yes, one semester more","Yes","No","No","less often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Tablet (+ Pen);Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","4","Slack;Riot;Discord","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","3","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","Notion","Documents (Readdle), Dropbox","Discord","Notion - Complete modular time/file/project/notes management with all possible visualisations.","BSc CogSci","4","Very important to know ASAP","Good work, guys."
"2020/06/12 10:33:40 AM GMT+2","8","5","9","","9","7","","","","","","6","7","8","","5","7","","","7","physical health issues;mental health issues;social issues;issues with technical equipment (computer, internet, ...)","Yes (Diagnosed or Suspected; via health care professional)","Yes, but i can somehow deal with it","","Psychological counseling","more than 30 ECTS","1","a bit more","7","Yes, one semester more","Yes","No","No","less often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Tablet (+ Pen);Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","3","Slack;Riot;Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/12 10:51:11 AM GMT+2","3","3","8","","9","6","","2","8","8","","","6","7","","","","BBB has problems in one of my courses, in otheres it works fine","","4","social issues","No","I dont suffer from any psychological condition","","","15 ECTS","1","much less","5","No","Yes","Yes","","less often than in previous semesters","Yes","","Yes","Desktop/Laptop Computer;Pen & Paper","Frosch","3","Blubber;Stud.IP Forum;Discord","","Video of slides + Narration by lecturer.","6","","No","No","Forrect (only a timer that helps me stay focused)","","","","BSc CogSci","5","Good to know at some point but not urgent",""
"2020/06/12 11:22:31 AM GMT+2","6","5","7","Staying home can be exhausting, although I enjoy the flexibilty","5","","","5","8","","","","4","","","","6","","","5","mental health issues;social issues;term abroad cancelled / postponed;issues with access to study material (library, labs);troubles to find a free space to study outside home","No","","","Examination office","15 ECTS","1","a bit less","5","No","Yes","No","No","less often than in previous semesters","No","Yes","Maybe","Desktop/Laptop Computer;Printer;Pen & Paper","Mensa","1","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","4","Vips (With Question Pool & Selftest options )","No","No","","Evernote","","Pomodoro app, makes me be able to focus at home without getting distracted because I know for half anhour I want to study and I don't need to chack the time
","BSc CogSci","7","Good to know at some point but not urgent","Study rooms needed, even with it's just for one person each. I think since it's possible to register customers in bars or go to shops. There should be a solution possible that you can sign up or ""book"" rooms in the university, since they are probably empty"
"2020/06/12 11:23:58 AM GMT+2","3","5","7","For me the issue is not that the workload over all das increased. What hab ne exhausting is to bring up the additional energy for the self organisation aspect of this semester. If you can only study from home there is no barrier between studying and relaxation and you are never really done.","8","3","","","","","","3","6","3","","4","","If online lectures work is dependent in the lecturer. It can be frustrating, when lectures do not upload their material in time since this can disrupt the study Plan that one has created quite a bit. The quality of the online presentation in most lectures exceeds expectations ","","5","no particular issues","No","I dont suffer from any psychological condition","","","more than 30 ECTS","1","a bit more","5","No","Yes","No","Yes","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Tablet (+ Pen);Pen & Paper","Frosch","5","Riot;Discord","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","3","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","Discord, Skype","Discord: the surren sharing option for working on homework and the fact that I was quite familiar with it before the digital semester","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/12 11:36:30 AM GMT+2","4","4","5","","7","1","","","","","1","2","5","4","","","","","","7","social issues;issues with technical equipment (computer, internet, ...);Not mental health issues, but generally a bad mood/demotivated","No","I dont suffer from any psychological condition","It is very stressfull to handle all the workload alone, in this home enviroment with nobody around to help. ","Advice mentoring team;Advice Fachschaft;Professor's directly, because mentoring and Fachschaft did not handle the issue.","25 ECTS","None","a bit more","7","Yes, more than one semester more","Yes","No","No","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Tablet (+ Pen)","Secluded Workplaces (e.g. Library Rooms)","5","Slack;Riot;Stud.IP Forum;Discord;Telegram","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","2","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","GoogleDocs, OneNote","Discord","AnkiApp, Discord, Telegram","BSc CogSci","2","Very important to know ASAP","In one of the first Mails it was mentioned, that the online semester will not be layed out to our disatvantage. I do not agree with that. First of all, the workload is still as high as in the semester before, despite this troublesome situation. I know that it is hard to make predictions e.g. regarding exam dates, but for working reasons in the semester break (because it is hard to get a job right now) it would be absolutetly crucial to know when exams will take place. Still in some courses there are still no dates for the 2. attempts or even for the 1. attempts. Also the retake exams are announced on very short notice, or are sheduled in the middle of my exam phase or on dates I already have to write another exam. Therefore I would have to write 6 exams, partially on the same day, in about 20 days. Since I do not have retake dates, it is not easy to shedule them to the retake dates. Because another probelm occuring is, that I still need my 40 ECT and some retakes are sheduled in the next semester. Additionally, learning for exams in groups and doing homework in groups is diffucult as well. Therefore I think this semester will very much be to my disatvantage. "
"2020/06/12 11:55:56 AM GMT+2","7","5","5","","","","","","","","","","","","9","","7","","","5","mental health issues;social issues","Yes (Diagnosed or Suspected; via health care professional)","No","","Psychological counseling","less than 15 ECTS","","","","","","","","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Mensa","8","BigBlueButton","","","","","Yes","Yes","","","","","BSc CogSci","8+","",""
"2020/06/12 12:09:30 PM GMT+2","9","8","7","","10","8","10","10","7","9","4","5","10","8","5","5","7","","","3","no particular issues","No","No","","","15 ECTS","1","about the same","5","Yes, one semester more","No","Yes","","about the same","Yes","","No","Desktop/Laptop Computer","","3","Stud.IP Forum;WhatsApp","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","7","Vips (With Question Pool & Selftest options )","No","No","Google Calendar, Google Tasks","OneNote, Jupyter Notebook","Google Meet","OneNote","MSc CogSci","1","Very important to know ASAP",""
"2020/06/12 12:29:33 PM GMT+2","4","3","5","It's difficult to study in a disciplined manner and staying focused for long periods of time at home.","10","8","9","5","","","","","9","8","","","","","","7","internship (or similar) cancelled / postponed","No","I dont suffer from any psychological condition","","None","more than 30 ECTS","None","about the same","5","No","No","No","No","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer","Secluded Workplaces (e.g. Library Rooms)","1","Stud.IP Forum","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer.","8","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","OneNote","WhatsApp","","BSc CogSci","6","Good to know at some point but not urgent","My online Courses are great and I feel like they don't lack much in comparison to 'normal' courses (input-wise) but studying in groups on campus and motivating each other can hardly be replaced at the moment."
"2020/06/12 12:35:02 PM GMT+2","6","7","10","","6","7","9","7","4","4","5","6","5","6","7","5","4","","Everything with more than ~ 30 students as an online live session (tutorials, seminars,..) get's a little chaotic usually, maybe have more smaller seminars? or more tutors?","6","mental health issues;social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","30 ECTS","1","about the same","7","No","Yes","Yes","","less often than in previous semesters","No","No","Maybe","Desktop/Laptop Computer;Pen & Paper","Printers, Wifi, Library Rooms, Mensa","5","Slack;Stud.IP Forum","Powerpoint","","6","Vips (With Question Pool & Selftest options )","Yes","No","","","","","BSc CogSci","5","Good to know at some point but not urgent",""
"2020/06/12 12:38:04 PM GMT+2","5","3","4","","4","4","4","6","2","2","5","2","4","3","5","5","3","","","6","mental health issues;social issues;term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Advice mentoring team","30 ECTS","3","a bit more","7","Yes, one semester more","Yes","No","No","about the same","Yes","Yes","Maybe","Desktop/Laptop Computer","Printers","4","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","MSc CogSci","2","Very important to know ASAP",""
"2020/06/12 12:48:44 PM GMT+2","5","2","6","It is boring to learn at home","8","2","","7","2","8","","","3","","","","","","","4","physical health issues;mental health issues","No","I dont suffer from any psychological condition","","","25 ECTS","1","a bit less","5","Yes, one semester more","No","No","No","less often than in previous semesters","Yes","No","Yes","Hybrid Laptop/Tablet","Secluded Workplaces (e.g. Library Rooms)","4","Slack;Riot","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","3","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","OneNote","Telegram, Skype","Surface Book: Includes tablet and laptop. I can do everything related to Uni only with this device","BSc CogSci","2","Good to know at some point but not urgent","I really hope, the next semester is not completely online again. I would not understand this, because I think at least tutorials and other small events are okay. Also schools are opened. I have the feeling that it is easy to let the university happen online, because students were already independ before, so you kind of don't see a big difference. But I can imagine that students, especially those which already struggled with the university, have a hard time with this."
"2020/06/12 12:49:41 PM GMT+2","5","4","5","A few classes are way more complicated than they should be. It is quite annoying if the lecturer doesnt really care about how the material is given to the students. There are some classes who do an excellent job. I especially like how (e.g. in theoretische informatik) courseware is used to divide lectures into topics, instead of 90min. each and how the lecturer also used a whiteboard in addition to the slides to explain the material. But other lectures are just so bad, the audio is hardly to understand, the slides are cut off, the lecturer refers to ""as you can see here"", but you cannot see where he is pointing at, lectures are missing and the slides aren't really comprehensible without good explanation, etc. And that makes it actually really hard and demotivates a lot. You need to invest so much more time into the course and it is quite annoying that you know, that just with a little effort by the lecturer it could be so much easier for the student. Everyone needs to get used to that new format, and first has to put some work into it, students and lecturers equally.
Another point are the exams, it is almost end of the semester, but for some classes there is still absolutely no information about the exams, the only information you get is, we dont know yet. That definitely is a stressing point for me. And also in one class an online exam just got explained and the concept of that for me personally sounds really stressful and i would prefer a normal exam 10000 times over that online exam, having to put a camera in my room and personal space, stressing out if the internet connection might resists and so on... ","6","5","7","7","2","3","","","1","1","","","3","see section before","if the lecture isnt live online, I would really recommend theme-structured videos. Makes it easier to listen and structure your study. ","7","financial issues;internship (or similar) cancelled / postponed;issues with access to study material (library, labs)","No","","","Examination office","25 ECTS","1","a bit less","9","Yes, one semester more","Yes","No","Yes","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","5","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","5","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","","","","BSc CogSci","6","Very important to know ASAP","Thanks to everyone who puts so much effort in this online semester and tries to make it work as best as possible! 
Although this isnt a CogSci matter, I really would support to open libraries again. I know a lot of people, me included, who really need some other place to go for studying than your own little room in your shared flat. Motivating yourself at home is quite difficult and sitting in the same room all day long in the same chair, in front of your laptop is really exhausting. "
"2020/06/12 1:02:33 PM GMT+2","3","2","4","","4","5","5","","3","2","","2","4","1","","","","","","6","internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","","I dont suffer from any psychological condition","","","25 ECTS","3","much less","7","Yes, one semester more","Yes","Yes","","less often than in previous semesters","No","","Yes","Desktop/Laptop Computer;Printer","Frosch","3","Telegran","","Video of slides + Narration by lecturer.","4","Vips (With Question Pool & Selftest options )","","","","","","","MSc CogSci","2","Very important to know ASAP",""
"2020/06/12 1:21:28 PM GMT+2","8","7","8","","8","","","","8","9","","","","5","","","9","","","2","no particular issues","No","","","","less than 15 ECTS","None","much less","3","No","Yes","No","No","less often than in previous semesters","No","","No","Desktop/Laptop Computer;Printer;Pen & Paper","Mensa","","","","","","","No","No","","","","","BSc CogSci","8+","Very important to know ASAP","I am writing my thesis currently and just did one course in this digital semester, that is why I didn't answer many of the questions, anyways I appreciated this questionnaire. "
"2020/06/12 1:43:20 PM GMT+2","5","4","8","","8","6","","9","7","10","","","","6","","","","","","6","issues with access to study material (library, labs);problems with motivation","No","I dont suffer from any psychological condition","Just problems with motivation and keeping up with the workload.","None","30 ECTS","None","a bit more","6","No","Yes","No","Yes","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","1","Blubber;Stud.IP Forum;Discord;BigBlueButton, Zoom","Powerpoint","Video of slides + Narration by lecturer.","7","Vips (With Question Pool & Selftest options )","No","No","None.","Pen and paper, Open Office","Discord, WhatsApp","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/12 2:26:33 PM GMT+2","7","3","8","Since I can hardly concentrate in a full lecture hall, I‘m glad to be able to study in an environment that fits me best. I also appreciate the flexibility of studying online. But: missing personal contact has a huge psychological impact, especially if you live alone; generally, those who can’t study with peers have a disadvantage, it makes things much harder.  ","6","5","5","5","7","7","","","7","7","","","4","","Please more interactive use of the courseware (as e.g. Tobias Thelen does); better microphones for the lecturers (quality is often bad)","4","mental health issues;social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","Yes (Diagnosed or Suspected; via health care professional)","Yes, to the degree where it made me dysfunctional on some level","Missing social contact caused depressive symptoms; it is hard to admit that you get more and more dysfunctional since we’re always under pressure, and that makes even more lonely. We need a more open-minded culture about mental health issues at university (not only in Corona-times!), in a way that is not about increasing personal efficiency (what for are we doing all this?) but centers us as non-perfect human beings with needs and weaknesses.","Advice mentoring team;Advice Fachschaft;Psychological counseling","more than 30 ECTS","None","a bit more","8","Yes, one semester more","No","No","No","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Printer;Pen & Paper;Headset, Smartphone ","Frosch","6","Slack;Riot;Discord;Telegram ","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","My truly analog pen & paper driven calendar","Usual file organization in Ubuntu, notes in a notebook (pen & paper) or on printed slides","Telegram, discord, google docs, jitsi, Skype, WhatsApp ","Discord, as it provides the peer-sharing of info, help, contact... closest to Frosch/library/Mensa","BSc CogSci","2","Very important to know ASAP","A platform for just for contact/spontaneous talking when you’re not feeling well would be great; „outing“ as lonely is hard"
